"cohort_start_date","n"
2021-04-03,35
2021-09-07,5
2021-02-24,90
2022-08-28,5
2023-06-04,5
2024-01-18,5
2025-01-13,5
2022-05-14,20
2023-05-07,5
2024-06-14,5
2023-05-21,6
2024-11-11,33
2025-01-04,5
2023-03-01,5
2022-11-30,29
2022-09-18,16
2022-12-16,16
2024-01-26,5
2023-01-12,8
2021-04-19,22
2024-10-31,33
2023-09-22,36
2021-12-09,125
2024-01-25,5
2022-11-02,57
2022-04-15,22
2022-07-06,5
2023-01-19,5
2021-10-09,62
2025-01-09,9
2023-06-02,9
2023-05-11,32
2022-08-02,5
2022-04-30,25
2022-05-10,28
2021-03-25,96
2023-12-23,5
2023-09-12,24
2021-02-05,146
2025-04-29,24
2021-02-18,108
2025-04-04,7
2022-04-02,30
2021-06-08,42
2022-06-28,8
2021-07-02,37
2023-11-18,26
2023-04-01,7
2021-06-29,46
2022-03-23,9
2021-11-17,124
2022-12-20,9
2022-03-01,11
2024-06-05,8
2021-09-15,11
2024-09-23,5
2023-09-07,10
2021-05-07,34
2022-03-14,9
2024-12-31,5
2022-02-13,14
2021-07-20,13
2022-10-16,43
2023-12-29,6
2022-02-28,9
2022-08-09,5
2023-06-22,5
2022-04-12,47
2022-03-09,11
2024-05-08,18
2023-10-23,49
2021-05-01,35
2021-10-05,52
2022-08-14,5
2022-01-20,25
2022-09-20,53
2021-05-06,57
2020-12-07,5
2022-05-21,12
2021-04-16,44
2021-10-26,85
2023-02-18,5
2022-08-11,5
2024-06-01,8
2024-10-18,40
2023-06-07,10
2025-04-11,6
2023-10-15,13
2023-01-26,5
2024-05-11,23
2021-12-15,195
2022-03-16,8
2024-02-03,5
2024-04-24,29
2021-08-28,9
2022-12-04,15
2022-01-11,65
2020-12-08,5
2025-04-08,12
2022-09-10,43
2021-05-23,34
2020-12-20,15
2023-10-10,72
2021-04-18,27
2024-10-29,51
2023-07-06,5
2025-04-28,15
2021-07-18,10
2025-04-01,16
2021-05-20,56
2021-03-11,79
2021-04-02,63
2024-10-23,51
2023-02-16,5
2022-10-07,70
2023-01-30,5
2023-05-31,21
2023-01-17,5
2022-11-08,76
2023-04-29,36
2023-06-23,5
2024-06-03,7
2022-06-16,8
2021-11-03,88
2022-05-28,8
2021-08-12,18
2022-07-10,5
2023-11-30,35
2022-04-03,12
2022-09-12,27
2022-02-12,23
2023-10-04,53
2023-11-04,33
2024-05-19,5
2023-11-09,44
2022-09-17,26
2021-04-27,67
2022-05-24,14
2024-04-18,31
2021-01-29,107
2021-01-01,9
2021-12-16,191
2022-05-25,16
2022-01-18,28
2022-08-16,6
2021-01-06,38
2024-04-04,14
2024-06-17,5
2022-11-16,48
2022-10-15,128
2022-12-11,16
2023-11-03,40
2022-01-27,14
2023-05-03,29
2021-02-02,136
2021-08-27,6
2022-01-03,62
2021-10-17,57
2023-10-19,49
2023-02-08,5
2021-08-03,10
2022-12-01,27
2025-01-06,5
2022-04-22,30
2023-04-24,27
2024-10-07,29
2023-04-28,37
2023-05-04,30
2024-11-28,26
2020-12-15,26
2021-11-13,93
2025-02-18,5
