"result_id","cdm_name","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","additional_level"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_049","density_x","numeric","1012.23091976517","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_049","density_y","numeric","0.000219110116498523","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_050","density_x","numeric","1033.02739726027","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_050","density_y","numeric","0.000216359535493252","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_051","density_x","numeric","1053.82387475538","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_051","density_y","numeric","0.000213673605526038","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_052","density_x","numeric","1074.62035225049","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_052","density_y","numeric","0.000211061094933792","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_053","density_x","numeric","1095.4168297456","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_053","density_y","numeric","0.000208510414707232","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_054","density_x","numeric","1116.2133072407","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_054","density_y","numeric","0.000206016154707328","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_055","density_x","numeric","1137.00978473581","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_055","density_y","numeric","0.000203575558327224","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_056","density_x","numeric","1157.80626223092","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_056","density_y","numeric","0.000201185737559752","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_057","density_x","numeric","1178.60273972603","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_057","density_y","numeric","0.000198843699864244","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_058","density_x","numeric","1199.39921722113","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_058","density_y","numeric","0.000196549897123213","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_059","density_x","numeric","1220.19569471624","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_059","density_y","numeric","0.00019430212058954","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_060","density_x","numeric","1240.99217221135","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_060","density_y","numeric","0.000192091229849702","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_061","density_x","numeric","1261.78864970646","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_061","density_y","numeric","0.000189914429089722","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_062","density_x","numeric","1282.58512720157","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_062","density_y","numeric","0.000187769128462037","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_063","density_x","numeric","1303.38160469667","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_063","density_y","numeric","0.000185652985272854","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_064","density_x","numeric","1324.17808219178","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_064","density_y","numeric","0.000183563944097292","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_065","density_x","numeric","1344.97455968689","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_065","density_y","numeric","0.000181505489906879","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_066","density_x","numeric","1365.771037182","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_066","density_y","numeric","0.000179470954041172","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_067","density_x","numeric","1386.5675146771","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_067","density_y","numeric","0.000177459711411518","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_068","density_x","numeric","1407.36399217221","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_068","density_y","numeric","0.00017547171581797","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_069","density_x","numeric","1428.16046966732","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_069","density_y","numeric","0.000173507308355859","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_070","density_x","numeric","1448.95694716243","overall","overall"
